REGIAO;SEXO;FAIXA_ET;N
Norte;Homens;16 a 24 anos;1586473
Norte;Homens;25 a 34 anos;1625417
Norte;Homens;35 a 44 anos;1404186
Norte;Homens;45 a 54 anos;1010130
Norte;Homens;55 a 64 anos; 659350
Norte;Homens;65 anos ou mais; 537016
Norte;Mulheres;16 a 24 anos;1535972
Norte;Mulheres;25 a 34 anos;1624685
Norte;Mulheres;35 a 44 anos;1426634
Norte;Mulheres;45 a 54 anos;1010736
Norte;Mulheres;55 a 64 anos; 660252
Norte;Mulheres;65 anos ou mais; 595721
Nordeste;Homens;16 a 24 anos;4404955
Nordeste;Homens;25 a 34 anos;4600298
Nordeste;Homens;35 a 44 anos;4221526
Nordeste;Homens;45 a 54 anos;3233714
Nordeste;Homens;55 a 64 anos;2335159
Nordeste;Homens;65 anos ou mais;2214416
Nordeste;Mulheres;16 a 24 anos;4310306
Nordeste;Mulheres;25 a 34 anos;4833930
Nordeste;Mulheres;35 a 44 anos;4610300
Nordeste;Mulheres;45 a 54 anos;3619137
Nordeste;Mulheres;55 a 64 anos;2727342
Nordeste;Mulheres;65 anos ou mais;3012341
Sudeste;Homens;16 a 24 anos;5840167
Sudeste;Homens;25 a 34 anos;7016498
Sudeste;Homens;35 a 44 anos;6940913
Sudeste;Homens;45 a 54 anos;5614403
Sudeste;Homens;55 a 64 anos;4529310
Sudeste;Homens;65 anos ou mais;4373047
Sudeste;Mulheres;16 a 24 anos;5648084
Sudeste;Mulheres;25 a 34 anos;6940731
Sudeste;Mulheres;35 a 44 anos;7195699
Sudeste;Mulheres;45 a 54 anos;6095923
Sudeste;Mulheres;55 a 64 anos;5222883
Sudeste;Mulheres;65 anos ou mais;5920172
Sul;Homens;16 a 24 anos;1982429
Sul;Homens;25 a 34 anos;2382474
Sul;Homens;35 a 44 anos;2250058
Sul;Homens;45 a 54 anos;1914945
Sul;Homens;55 a 64 anos;1637973
Sul;Homens;65 anos ou mais;1570262
Sul;Mulheres;16 a 24 anos;1911386
Sul;Mulheres;25 a 34 anos;2354940
Sul;Mulheres;35 a 44 anos;2303410
Sul;Mulheres;45 a 54 anos;2036988
Sul;Mulheres;55 a 64 anos;1830715
Sul;Mulheres;65 anos ou mais;2049693
Centro-Oeste;Homens;16 a 24 anos;1175822
Centro-Oeste;Homens;25 a 34 anos;1389205
Centro-Oeste;Homens;35 a 44 anos;1328549
Centro-Oeste;Homens;45 a 54 anos;1043413
Centro-Oeste;Homens;55 a 64 anos; 741656
Centro-Oeste;Homens;65 anos ou mais; 631015
Centro-Oeste;Mulheres;16 a 24 anos;1140477
Centro-Oeste;Mulheres;25 a 34 anos;1378686
Centro-Oeste;Mulheres;35 a 44 anos;1366865
Centro-Oeste;Mulheres;45 a 54 anos;1102623
Centro-Oeste;Mulheres;55 a 64 anos; 810903
Centro-Oeste;Mulheres;65 anos ou mais; 754377
