COD_MUN;NOME_MUN;POP;REGIAO;TAM_MUN
1100015;Alta Floresta D'Oeste - RO;   22728;Norte;Ate 50 mil hab.
1100023;Ariquemes - RO;  109523;Norte;De 50 mil a 200 mil hab.
1100031;Cabixi - RO;    5188;Norte;Ate 50 mil hab.
1100049;Cacoal - RO;   85893;Norte;De 50 mil a 200 mil hab.
1100056;Cerejeiras - RO;   16204;Norte;Ate 50 mil hab.
1100064;Colorado do Oeste - RO;   15544;Norte;Ate 50 mil hab.
1100072;Corumbiara - RO;    7220;Norte;Ate 50 mil hab.
1100080;Costa Marques - RO;   18798;Norte;Ate 50 mil hab.
1100098;Espigão D'Oeste - RO;   32695;Norte;Ate 50 mil hab.
1100106;Guajará-Mirim - RO;   46556;Norte;Ate 50 mil hab.
1100114;Jaru - RO;   51620;Norte;De 50 mil a 200 mil hab.
1100122;Ji-Paraná - RO;  130009;Norte;De 50 mil a 200 mil hab.
1100130;Machadinho D'Oeste - RO;   40867;Norte;Ate 50 mil hab.
1100148;Nova Brasilândia D'Oeste - RO;   20489;Norte;Ate 50 mil hab.
1100155;Ouro Preto do Oeste - RO;   35737;Norte;Ate 50 mil hab.
1100189;Pimenta Bueno - RO;   36881;Norte;Ate 50 mil hab.
1100205;Porto Velho - RO;  539354;Norte;Acima de 500 mil hab.
1100254;Presidente Médici - RO;   18571;Norte;Ate 50 mil hab.
1100262;Rio Crespo - RO;    3804;Norte;Ate 50 mil hab.
1100288;Rolim de Moura - RO;   55407;Norte;De 50 mil a 200 mil hab.
1100296;Santa Luzia D'Oeste - RO;    6216;Norte;Ate 50 mil hab.
1100304;Vilhena - RO;  102211;Norte;De 50 mil a 200 mil hab.
1100320;São Miguel do Guaporé - RO;   23077;Norte;Ate 50 mil hab.
1100338;Nova Mamoré - RO;   31392;Norte;Ate 50 mil hab.
1100346;Alvorada D'Oeste - RO;   14106;Norte;Ate 50 mil hab.
1100379;Alto Alegre dos Parecis - RO;   13255;Norte;Ate 50 mil hab.
1100403;Alto Paraíso - RO;   21847;Norte;Ate 50 mil hab.
1100452;Buritis - RO;   40356;Norte;Ate 50 mil hab.
1100502;Novo Horizonte do Oeste - RO;    8329;Norte;Ate 50 mil hab.
1100601;Cacaulândia - RO;    6269;Norte;Ate 50 mil hab.
1100700;Campo Novo de Rondônia - RO;   14266;Norte;Ate 50 mil hab.
1100809;Candeias do Jamari - RO;   27388;Norte;Ate 50 mil hab.
1100908;Castanheiras - RO;    2987;Norte;Ate 50 mil hab.
1100924;Chupinguaia - RO;   11472;Norte;Ate 50 mil hab.
1100940;Cujubim - RO;   26183;Norte;Ate 50 mil hab.
1101005;Governador Jorge Teixeira - RO;    7445;Norte;Ate 50 mil hab.
1101104;Itapuã do Oeste - RO;   10641;Norte;Ate 50 mil hab.
1101203;Ministro Andreazza - RO;    9559;Norte;Ate 50 mil hab.
1101302;Mirante da Serra - RO;   10818;Norte;Ate 50 mil hab.
1101401;Monte Negro - RO;   16007;Norte;Ate 50 mil hab.
1101435;Nova União - RO;    6895;Norte;Ate 50 mil hab.
1101450;Parecis - RO;    6198;Norte;Ate 50 mil hab.
1101468;Pimenteiras do Oeste - RO;    2148;Norte;Ate 50 mil hab.
1101476;Primavera de Rondônia - RO;    2776;Norte;Ate 50 mil hab.
